Date,Prices
10/31/20,10.1
11/30/20,10.3
12/31/20,11
1/31/21,10.9
2/28/21,10.9
3/31/21,10.9
4/30/21,10.4
5/31/21,9.84
6/30/21,10
7/31/21,10.1
8/31/21,10.3
9/30/21,10.2
10/31/21,10.1
11/30/21,11.2
12/31/21,11.4
1/31/22,11.5
2/28/22,11.8
3/31/22,11.5
4/30/22,10.7
5/31/22,10.7
6/30/22,10.4
7/31/22,10.5
8/31/22,10.4
9/30/22,10.8
10/31/22,11
11/30/22,11.6
12/31/22,11.6
1/31/23,12.1
2/28/23,11.7
3/31/23,12
4/30/23,11.5
5/31/23,11.2
6/30/23,10.9
7/31/23,11.4
8/31/23,11.1
9/30/23,11.5
10/31/23,11.8
11/30/23,12.2
12/31/23,12.8
1/31/24,12.6
2/29/24,12.4
3/31/24,12.7
4/30/24,12.1
5/31/24,11.4
6/30/24,11.5
7/31/24,11.6
8/31/24,11.5
9/30/24,11.8
